#,phrase,&, total freq,&,word1,&,freq1,&,word2,&,freq2,&,word3,&,freq3,&,word4,&,freq4, \\ \hline
65, a nigh skol dower ,&,7537788,&, a ,&,7536297,&, nigh ,&,1394,&, skol ,&,5,&, dower ,&,92, \\ \hline
36, a gneiss kohl dour ,&,7537349,&, a ,&,7536297,&, gneiss ,&,21,&, kohl ,&,912,&, dour ,&,119, \\ \hline
37, a gneiss kohl dower ,&,7537322,&, a ,&,7536297,&, gneiss ,&,21,&, kohl ,&,912,&, dower ,&,92, \\ \hline
68, a nye skol dour ,&,7536458,&, a ,&,7536297,&, nye ,&,37,&, skol ,&,5,&, dour ,&,119, \\ \hline
69, a nye skol dower ,&,7536431,&, a ,&,7536297,&, nye ,&,37,&, skol ,&,5,&, dower ,&,92, \\ \hline
265, on aye scold our ,&,3378386,&, on ,&,2774243,&, aye ,&,130503,&, scold ,&,217,&, our ,&,473423, \\ \hline
269, on e scold our ,&,3356846,&, on ,&,2774243,&, e ,&,108963,&, scold ,&,217,&, our ,&,473423, \\ \hline
283, on ice cold our ,&,3312712,&, on ,&,2774243,&, ice ,&,12202,&, cold ,&,52844,&, our ,&,473423, \\ \hline
273, on eye scold our ,&,3274633,&, on ,&,2774243,&, eye ,&,26750,&, scold ,&,217,&, our ,&,473423, \\ \hline
261, on ay scold our ,&,3254516,&, on ,&,2774243,&, ay ,&,6633,&, scold ,&,217,&, our ,&,473423, \\ \hline
289, on ice-cold our ,&,3247715,&, on ,&,2774243,&, ice-cold ,&,49,&, our ,&,473423,&, ,&,, \\ \hline
264, on aye scold hour ,&,2976776,&, on ,&,2774243,&, aye ,&,130503,&, scold ,&,217,&, hour ,&,71813, \\ \hline
268, on e scold hour ,&,2955236,&, on ,&,2774243,&, e ,&,108963,&, scold ,&,217,&, hour ,&,71813, \\ \hline
282, on ice cold hour ,&,2911102,&, on ,&,2774243,&, ice ,&,12202,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
266, on aye skol dour ,&,2904870,&, on ,&,2774243,&, aye ,&,130503,&, skol ,&,5,&, dour ,&,119, \\ \hline
267, on aye skol dower ,&,2904843,&, on ,&,2774243,&, aye ,&,130503,&, skol ,&,5,&, dower ,&,92, \\ \hline
270, on e skol dour ,&,2883330,&, on ,&,2774243,&, e ,&,108963,&, skol ,&,5,&, dour ,&,119, \\ \hline
271, on e skol dower ,&,2883303,&, on ,&,2774243,&, e ,&,108963,&, skol ,&,5,&, dower ,&,92, \\ \hline
272, on eye scold hour ,&,2873023,&, on ,&,2774243,&, eye ,&,26750,&, scold ,&,217,&, hour ,&,71813, \\ \hline
260, on ay scold hour ,&,2852906,&, on ,&,2774243,&, ay ,&,6633,&, scold ,&,217,&, hour ,&,71813, \\ \hline
288, on ice-cold hour ,&,2846105,&, on ,&,2774243,&, ice-cold ,&,49,&, hour ,&,71813,&, ,&,, \\ \hline
280, on ice coal dour ,&,2807012,&, on ,&,2774243,&, ice ,&,12202,&, coal ,&,20448,&, dour ,&,119, \\ \hline
281, on ice coal dower ,&,2806985,&, on ,&,2774243,&, ice ,&,12202,&, coal ,&,20448,&, dower ,&,92, \\ \hline
274, on eye skol dour ,&,2801117,&, on ,&,2774243,&, eye ,&,26750,&, skol ,&,5,&, dour ,&,119, \\ \hline
275, on eye skol dower ,&,2801090,&, on ,&,2774243,&, eye ,&,26750,&, skol ,&,5,&, dower ,&,92, \\ \hline
284, on ice cole dour ,&,2788637,&, on ,&,2774243,&, ice ,&,12202,&, cole ,&,2073,&, dour ,&,119, \\ \hline
285, on ice cole dower ,&,2788610,&, on ,&,2774243,&, ice ,&,12202,&, cole ,&,2073,&, dower ,&,92, \\ \hline
286, on ice kohl dour ,&,2787476,&, on ,&,2774243,&, ice ,&,12202,&, kohl ,&,912,&, dour ,&,119, \\ \hline
287, on ice kohl dower ,&,2787449,&, on ,&,2774243,&, ice ,&,12202,&, kohl ,&,912,&, dower ,&,92, \\ \hline
262, on ay skol dour ,&,2781000,&, on ,&,2774243,&, ay ,&,6633,&, skol ,&,5,&, dour ,&,119, \\ \hline
263, on ay skol dower ,&,2780973,&, on ,&,2774243,&, ay ,&,6633,&, skol ,&,5,&, dower ,&,92, \\ \hline
115, an aye scold our ,&,1398312,&, an ,&,794169,&, aye ,&,130503,&, scold ,&,217,&, our ,&,473423, \\ \hline
119, an e scold our ,&,1376772,&, an ,&,794169,&, e ,&,108963,&, scold ,&,217,&, our ,&,473423, \\ \hline
133, an ice cold our ,&,1332638,&, an ,&,794169,&, ice ,&,12202,&, cold ,&,52844,&, our ,&,473423, \\ \hline
123, an eye scold our ,&,1294559,&, an ,&,794169,&, eye ,&,26750,&, scold ,&,217,&, our ,&,473423, \\ \hline
111, an ay scold our ,&,1274442,&, an ,&,794169,&, ay ,&,6633,&, scold ,&,217,&, our ,&,473423, \\ \hline
139, an ice-cold our ,&,1267641,&, an ,&,794169,&, ice-cold ,&,49,&, our ,&,473423,&, ,&,, \\ \hline
114, an aye scold hour ,&,996702,&, an ,&,794169,&, aye ,&,130503,&, scold ,&,217,&, hour ,&,71813, \\ \hline
118, an e scold hour ,&,975162,&, an ,&,794169,&, e ,&,108963,&, scold ,&,217,&, hour ,&,71813, \\ \hline
89, ah nice cold our ,&,946271,&, ah ,&,229296,&, nice ,&,190708,&, cold ,&,52844,&, our ,&,473423, \\ \hline
132, an ice cold hour ,&,931028,&, an ,&,794169,&, ice ,&,12202,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
116, an aye skol dour ,&,924796,&, an ,&,794169,&, aye ,&,130503,&, skol ,&,5,&, dour ,&,119, \\ \hline
117, an aye skol dower ,&,924769,&, an ,&,794169,&, aye ,&,130503,&, skol ,&,5,&, dower ,&,92, \\ \hline
120, an e skol dour ,&,903256,&, an ,&,794169,&, e ,&,108963,&, skol ,&,5,&, dour ,&,119, \\ \hline
121, an e skol dower ,&,903229,&, an ,&,794169,&, e ,&,108963,&, skol ,&,5,&, dower ,&,92, \\ \hline
122, an eye scold hour ,&,892949,&, an ,&,794169,&, eye ,&,26750,&, scold ,&,217,&, hour ,&,71813, \\ \hline
110, an ay scold hour ,&,872832,&, an ,&,794169,&, ay ,&,6633,&, scold ,&,217,&, hour ,&,71813, \\ \hline
138, an ice-cold hour ,&,866031,&, an ,&,794169,&, ice-cold ,&,49,&, hour ,&,71813,&, ,&,, \\ \hline
130, an ice coal dour ,&,826938,&, an ,&,794169,&, ice ,&,12202,&, coal ,&,20448,&, dour ,&,119, \\ \hline
131, an ice coal dower ,&,826911,&, an ,&,794169,&, ice ,&,12202,&, coal ,&,20448,&, dower ,&,92, \\ \hline
124, an eye skol dour ,&,821043,&, an ,&,794169,&, eye ,&,26750,&, skol ,&,5,&, dour ,&,119, \\ \hline
125, an eye skol dower ,&,821016,&, an ,&,794169,&, eye ,&,26750,&, skol ,&,5,&, dower ,&,92, \\ \hline
134, an ice cole dour ,&,808563,&, an ,&,794169,&, ice ,&,12202,&, cole ,&,2073,&, dour ,&,119, \\ \hline
135, an ice cole dower ,&,808536,&, an ,&,794169,&, ice ,&,12202,&, cole ,&,2073,&, dower ,&,92, \\ \hline
136, an ice kohl dour ,&,807402,&, an ,&,794169,&, ice ,&,12202,&, kohl ,&,912,&, dour ,&,119, \\ \hline
137, an ice kohl dower ,&,807375,&, an ,&,794169,&, ice ,&,12202,&, kohl ,&,912,&, dower ,&,92, \\ \hline
112, an ay skol dour ,&,800926,&, an ,&,794169,&, ay ,&,6633,&, skol ,&,5,&, dour ,&,119, \\ \hline
113, an ay skol dower ,&,800899,&, an ,&,794169,&, ay ,&,6633,&, skol ,&,5,&, dower ,&,92, \\ \hline
159, eh nice cold our ,&,783938,&, eh ,&,66963,&, nice ,&,190708,&, cold ,&,52844,&, our ,&,473423, \\ \hline
97, ah niece cold our ,&,757256,&, ah ,&,229296,&, niece ,&,1693,&, cold ,&,52844,&, our ,&,473423, \\ \hline
