#,phrase,&, total freq,&,word1,&,freq1,&,word2,&,freq2,&,word3,&,freq3,&,word4,&,freq4, \\ \hline
7, 'n' aye skol dower ,&,130600,&, 'n' ,&,0,&, aye ,&,130503,&, skol ,&,5,&, dower ,&,92, \\ \hline
246, o' niece cold hour ,&,126813,&, o' ,&,463,&, niece ,&,1693,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
222, o' gneiss cold hour ,&,125141,&, o' ,&,463,&, gneiss ,&,21,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
10, 'n' e skol dour ,&,109087,&, 'n' ,&,0,&, e ,&,108963,&, skol ,&,5,&, dour ,&,119, \\ \hline
11, 'n' e skol dower ,&,109060,&, 'n' ,&,0,&, e ,&,108963,&, skol ,&,5,&, dower ,&,92, \\ \hline
12, 'n' eye scold hour ,&,98780,&, 'n' ,&,0,&, eye ,&,26750,&, scold ,&,217,&, hour ,&,71813, \\ \hline
164, eh niece coal dour ,&,89223,&, eh ,&,66963,&, niece ,&,1693,&, coal ,&,20448,&, dour ,&,119, \\ \hline
165, eh niece coal dower ,&,89196,&, eh ,&,66963,&, niece ,&,1693,&, coal ,&,20448,&, dower ,&,92, \\ \hline
140, eh gneiss coal dour ,&,87551,&, eh ,&,66963,&, gneiss ,&,21,&, coal ,&,20448,&, dour ,&,119, \\ \hline
141, eh gneiss coal dower ,&,87524,&, eh ,&,66963,&, gneiss ,&,21,&, coal ,&,20448,&, dower ,&,92, \\ \hline
192, et ne scold hour ,&,85864,&, et ,&,6731,&, ne ,&,7103,&, scold ,&,217,&, hour ,&,71813, \\ \hline
188, et knee scold hour ,&,84900,&, et ,&,6731,&, knee ,&,6139,&, scold ,&,217,&, hour ,&,71813, \\ \hline
212, et nigh scold hour ,&,80155,&, et ,&,6731,&, nigh ,&,1394,&, scold ,&,217,&, hour ,&,71813, \\ \hline
232, o' ne scold hour ,&,79596,&, o' ,&,463,&, ne ,&,7103,&, scold ,&,217,&, hour ,&,71813, \\ \hline
216, et nye scold hour ,&,78798,&, et ,&,6731,&, nye ,&,37,&, scold ,&,217,&, hour ,&,71813, \\ \hline
0, 'n' ay scold hour ,&,78663,&, 'n' ,&,0,&, ay ,&,6633,&, scold ,&,217,&, hour ,&,71813, \\ \hline
228, o' knee scold hour ,&,78632,&, o' ,&,463,&, knee ,&,6139,&, scold ,&,217,&, hour ,&,71813, \\ \hline
154, eh ne skol dour ,&,74190,&, eh ,&,66963,&, ne ,&,7103,&, skol ,&,5,&, dour ,&,119, \\ \hline
155, eh ne skol dower ,&,74163,&, eh ,&,66963,&, ne ,&,7103,&, skol ,&,5,&, dower ,&,92, \\ \hline
252, o' nigh scold hour ,&,73887,&, o' ,&,463,&, nigh ,&,1394,&, scold ,&,217,&, hour ,&,71813, \\ \hline
150, eh knee skol dour ,&,73226,&, eh ,&,66963,&, knee ,&,6139,&, skol ,&,5,&, dour ,&,119, \\ \hline
151, eh knee skol dower ,&,73199,&, eh ,&,66963,&, knee ,&,6139,&, skol ,&,5,&, dower ,&,92, \\ \hline
256, o' nye scold hour ,&,72530,&, o' ,&,463,&, nye ,&,37,&, scold ,&,217,&, hour ,&,71813, \\ \hline
28, 'n' ice-cold hour ,&,71862,&, 'n' ,&,0,&, ice-cold ,&,49,&, hour ,&,71813,&, ,&,, \\ \hline
168, eh niece cole dour ,&,70848,&, eh ,&,66963,&, niece ,&,1693,&, cole ,&,2073,&, dour ,&,119, \\ \hline
169, eh niece cole dower ,&,70821,&, eh ,&,66963,&, niece ,&,1693,&, cole ,&,2073,&, dower ,&,92, \\ \hline
170, eh niece kohl dour ,&,69687,&, eh ,&,66963,&, niece ,&,1693,&, kohl ,&,912,&, dour ,&,119, \\ \hline
171, eh niece kohl dower ,&,69660,&, eh ,&,66963,&, niece ,&,1693,&, kohl ,&,912,&, dower ,&,92, \\ \hline
144, eh gneiss cole dour ,&,69176,&, eh ,&,66963,&, gneiss ,&,21,&, cole ,&,2073,&, dour ,&,119, \\ \hline
145, eh gneiss cole dower ,&,69149,&, eh ,&,66963,&, gneiss ,&,21,&, cole ,&,2073,&, dower ,&,92, \\ \hline
174, eh nigh skol dour ,&,68481,&, eh ,&,66963,&, nigh ,&,1394,&, skol ,&,5,&, dour ,&,119, \\ \hline
175, eh nigh skol dower ,&,68454,&, eh ,&,66963,&, nigh ,&,1394,&, skol ,&,5,&, dower ,&,92, \\ \hline
146, eh gneiss kohl dour ,&,68015,&, eh ,&,66963,&, gneiss ,&,21,&, kohl ,&,912,&, dour ,&,119, \\ \hline
147, eh gneiss kohl dower ,&,67988,&, eh ,&,66963,&, gneiss ,&,21,&, kohl ,&,912,&, dower ,&,92, \\ \hline
178, eh nye skol dour ,&,67124,&, eh ,&,66963,&, nye ,&,37,&, skol ,&,5,&, dour ,&,119, \\ \hline
179, eh nye skol dower ,&,67097,&, eh ,&,66963,&, nye ,&,37,&, skol ,&,5,&, dower ,&,92, \\ \hline
20, 'n' ice coal dour ,&,32769,&, 'n' ,&,0,&, ice ,&,12202,&, coal ,&,20448,&, dour ,&,119, \\ \hline
21, 'n' ice coal dower ,&,32742,&, 'n' ,&,0,&, ice ,&,12202,&, coal ,&,20448,&, dower ,&,92, \\ \hline
204, et niece coal dour ,&,28991,&, et ,&,6731,&, niece ,&,1693,&, coal ,&,20448,&, dour ,&,119, \\ \hline
205, et niece coal dower ,&,28964,&, et ,&,6731,&, niece ,&,1693,&, coal ,&,20448,&, dower ,&,92, \\ \hline
180, et gneiss coal dour ,&,27319,&, et ,&,6731,&, gneiss ,&,21,&, coal ,&,20448,&, dour ,&,119, \\ \hline
181, et gneiss coal dower ,&,27292,&, et ,&,6731,&, gneiss ,&,21,&, coal ,&,20448,&, dower ,&,92, \\ \hline
14, 'n' eye skol dour ,&,26874,&, 'n' ,&,0,&, eye ,&,26750,&, skol ,&,5,&, dour ,&,119, \\ \hline
15, 'n' eye skol dower ,&,26847,&, 'n' ,&,0,&, eye ,&,26750,&, skol ,&,5,&, dower ,&,92, \\ \hline
244, o' niece coal dour ,&,22723,&, o' ,&,463,&, niece ,&,1693,&, coal ,&,20448,&, dour ,&,119, \\ \hline
245, o' niece coal dower ,&,22696,&, o' ,&,463,&, niece ,&,1693,&, coal ,&,20448,&, dower ,&,92, \\ \hline
220, o' gneiss coal dour ,&,21051,&, o' ,&,463,&, gneiss ,&,21,&, coal ,&,20448,&, dour ,&,119, \\ \hline
221, o' gneiss coal dower ,&,21024,&, o' ,&,463,&, gneiss ,&,21,&, coal ,&,20448,&, dower ,&,92, \\ \hline
24, 'n' ice cole dour ,&,14394,&, 'n' ,&,0,&, ice ,&,12202,&, cole ,&,2073,&, dour ,&,119, \\ \hline
25, 'n' ice cole dower ,&,14367,&, 'n' ,&,0,&, ice ,&,12202,&, cole ,&,2073,&, dower ,&,92, \\ \hline
194, et ne skol dour ,&,13958,&, et ,&,6731,&, ne ,&,7103,&, skol ,&,5,&, dour ,&,119, \\ \hline
195, et ne skol dower ,&,13931,&, et ,&,6731,&, ne ,&,7103,&, skol ,&,5,&, dower ,&,92, \\ \hline
26, 'n' ice kohl dour ,&,13233,&, 'n' ,&,0,&, ice ,&,12202,&, kohl ,&,912,&, dour ,&,119, \\ \hline
27, 'n' ice kohl dower ,&,13206,&, 'n' ,&,0,&, ice ,&,12202,&, kohl ,&,912,&, dower ,&,92, \\ \hline
190, et knee skol dour ,&,12994,&, et ,&,6731,&, knee ,&,6139,&, skol ,&,5,&, dour ,&,119, \\ \hline
191, et knee skol dower ,&,12967,&, et ,&,6731,&, knee ,&,6139,&, skol ,&,5,&, dower ,&,92, \\ \hline
208, et niece cole dour ,&,10616,&, et ,&,6731,&, niece ,&,1693,&, cole ,&,2073,&, dour ,&,119, \\ \hline
209, et niece cole dower ,&,10589,&, et ,&,6731,&, niece ,&,1693,&, cole ,&,2073,&, dower ,&,92, \\ \hline
210, et niece kohl dour ,&,9455,&, et ,&,6731,&, niece ,&,1693,&, kohl ,&,912,&, dour ,&,119, \\ \hline
211, et niece kohl dower ,&,9428,&, et ,&,6731,&, niece ,&,1693,&, kohl ,&,912,&, dower ,&,92, \\ \hline
184, et gneiss cole dour ,&,8944,&, et ,&,6731,&, gneiss ,&,21,&, cole ,&,2073,&, dour ,&,119, \\ \hline
185, et gneiss cole dower ,&,8917,&, et ,&,6731,&, gneiss ,&,21,&, cole ,&,2073,&, dower ,&,92, \\ \hline
214, et nigh skol dour ,&,8249,&, et ,&,6731,&, nigh ,&,1394,&, skol ,&,5,&, dour ,&,119, \\ \hline
215, et nigh skol dower ,&,8222,&, et ,&,6731,&, nigh ,&,1394,&, skol ,&,5,&, dower ,&,92, \\ \hline
186, et gneiss kohl dour ,&,7783,&, et ,&,6731,&, gneiss ,&,21,&, kohl ,&,912,&, dour ,&,119, \\ \hline
187, et gneiss kohl dower ,&,7756,&, et ,&,6731,&, gneiss ,&,21,&, kohl ,&,912,&, dower ,&,92, \\ \hline
234, o' ne skol dour ,&,7690,&, o' ,&,463,&, ne ,&,7103,&, skol ,&,5,&, dour ,&,119, \\ \hline
235, o' ne skol dower ,&,7663,&, o' ,&,463,&, ne ,&,7103,&, skol ,&,5,&, dower ,&,92, \\ \hline
218, et nye skol dour ,&,6892,&, et ,&,6731,&, nye ,&,37,&, skol ,&,5,&, dour ,&,119, \\ \hline
219, et nye skol dower ,&,6865,&, et ,&,6731,&, nye ,&,37,&, skol ,&,5,&, dower ,&,92, \\ \hline
2, 'n' ay skol dour ,&,6757,&, 'n' ,&,0,&, ay ,&,6633,&, skol ,&,5,&, dour ,&,119, \\ \hline
3, 'n' ay skol dower ,&,6730,&, 'n' ,&,0,&, ay ,&,6633,&, skol ,&,5,&, dower ,&,92, \\ \hline
230, o' knee skol dour ,&,6726,&, o' ,&,463,&, knee ,&,6139,&, skol ,&,5,&, dour ,&,119, \\ \hline
231, o' knee skol dower ,&,6699,&, o' ,&,463,&, knee ,&,6139,&, skol ,&,5,&, dower ,&,92, \\ \hline
248, o' niece cole dour ,&,4348,&, o' ,&,463,&, niece ,&,1693,&, cole ,&,2073,&, dour ,&,119, \\ \hline
249, o' niece cole dower ,&,4321,&, o' ,&,463,&, niece ,&,1693,&, cole ,&,2073,&, dower ,&,92, \\ \hline
250, o' niece kohl dour ,&,3187,&, o' ,&,463,&, niece ,&,1693,&, kohl ,&,912,&, dour ,&,119, \\ \hline
251, o' niece kohl dower ,&,3160,&, o' ,&,463,&, niece ,&,1693,&, kohl ,&,912,&, dower ,&,92, \\ \hline
224, o' gneiss cole dour ,&,2676,&, o' ,&,463,&, gneiss ,&,21,&, cole ,&,2073,&, dour ,&,119, \\ \hline
225, o' gneiss cole dower ,&,2649,&, o' ,&,463,&, gneiss ,&,21,&, cole ,&,2073,&, dower ,&,92, \\ \hline
254, o' nigh skol dour ,&,1981,&, o' ,&,463,&, nigh ,&,1394,&, skol ,&,5,&, dour ,&,119, \\ \hline
255, o' nigh skol dower ,&,1954,&, o' ,&,463,&, nigh ,&,1394,&, skol ,&,5,&, dower ,&,92, \\ \hline
226, o' gneiss kohl dour ,&,1515,&, o' ,&,463,&, gneiss ,&,21,&, kohl ,&,912,&, dour ,&,119, \\ \hline
227, o' gneiss kohl dower ,&,1488,&, o' ,&,463,&, gneiss ,&,21,&, kohl ,&,912,&, dower ,&,92, \\ \hline
258, o' nye skol dour ,&,624,&, o' ,&,463,&, nye ,&,37,&, skol ,&,5,&, dour ,&,119, \\ \hline
259, o' nye skol dower ,&,597,&, o' ,&,463,&, nye ,&,37,&, skol ,&,5,&, dower ,&,92, \\ \hline
